import time: self [us] | cumulative | imported package
import time:      1188 |       1188 |                 sqlalchemy.sql._dml_constructors
import time:      2190 |       2190 |                 sqlalchemy.sql._elements_constructors
import time:      2313 |       2313 |                 sqlalchemy.sql._selectable_constructors
import time:      4058 |       4058 |                 sqlalchemy.sql.lambdas
import time:      2130 |      11876 |               sqlalchemy.sql.expression
import time:      2905 |       2905 |                 sqlalchemy.sql.events
import time:      1890 |       4794 |               sqlalchemy.sql.naming
import time:      1486 |       1486 |               sqlalchemy.sql.default_comparator
import time:     19399 |     260837 |             sqlalchemy.sql
import time:        84 |     260920 |           sqlalchemy.sql.compiler
import time:      8772 |     295807 |         sqlalchemy.engine.interfaces
import time:      1736 |       1736 |         sqlalchemy.engine.util
import time:      3624 |     301166 |       sqlalchemy.engine.base
import time:      7789 |     308955 |     sqlalchemy.engine.events
import time:      1289 |       1289 |         sqlalchemy.dialects
import time:      3433 |       4722 |       sqlalchemy.engine.url
import time:      1465 |       1465 |       sqlalchemy.engine.mock
import time:      2487 |       8672 |     sqlalchemy.engine.create
import time:      3909 |       3909 |         sqlalchemy.engine.row
import time:      7267 |      11176 |       sqlalchemy.engine.result
import time:      4217 |      15393 |     sqlalchemy.engine.cursor
import time:      5834 |       5834 |     sqlalchemy.engine.reflection
import time:      1355 |     340207 |   sqlalchemy.engine
import time:      1139 |       1139 |   sqlalchemy.schema
import time:       870 |        870 |   sqlalchemy.types
import time:      1207 |       1207 |     sqlalchemy.engine.characteristics
import time:      3698 |       4905 |   sqlalchemy.engine.default
import time:      1574 | 1483840686 | sqlalchemy
